Id;Designator;Footprint;Quantity;Designation;Supplier and ref
3;C13;C_0603_1608Metric;1;0.1uF;
5;C5,C7,C6;C_0402_1005Metric;3;22uF;
6;U1;Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias;1;BQ25895RTW;
7;R9,R10,R11;R_0402_1005Metric;3;10k;
8;U3;VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm;1;ATtiny1616-M;
9;C4,C9;C_0402_1005Metric;2;4.7uF;
11;L1;L_PCMB053T;1;3.3uH;
15;C12,C15,C8;C_0402_1005Metric;3;1μF;
16;R1;R_0402_1005Metric;1;260;
17;U2;HVQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm;1;~;
18;C2,C1,C14,C16;C_0603_1608Metric;4;10uF;
20;J2;USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal;1;USB_C_Receptacle_USB2.0_14P;
21;BT2;JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;Battery_Cell;
23;Q2;SOT-523;1;NMOS;
24;Q1;Vishay_PowerPAK_1212-8_Single;1;PMOS;
25;J1;microSD_HC_Hirose_DM3D-SF;1;Micro_SD_Card_Det1;
28;SW1;SW_TL3330AF260QG;1;SW_Push;
29;R2;R_0402_1005Metric;1;30.1k;
30;R7,R5;R_0402_1005Metric;2;1k;
32;R6;R_0402_1005Metric;1;900k;
34;R8;R_0402_1005Metric;1;100k;
36;R3;R_0402_1005Metric;1;5.23k;
37;U4;QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias;1;HUSB238A;
39;C3;C_0402_1005Metric;1;47nF;
